feature,high_probability_purchased_cart,low_probability_non_purchased_cart
has_prior_pair_interaction,1.0,0.0
missing_prior_pair_timing,0.0,1.0
log_prior_pair_event_count,1.0986122886681098,0.0
log_prior_pair_view_count,1.0986122886681098,0.0
log_prior_pair_transaction_count,0.0,0.0
log_user_event_count_before_cart,8.776475789346321,4.0943445622221
log_user_view_count_before_cart,8.596558746796978,2.4849066497880004
log_user_addtocart_count_before_cart,6.393590753950631,3.8918202981106265
log_user_transaction_count_before_cart,6.154858094016418,0.0
log_item_event_count_before_cart,2.70805020110221,2.19722457733622
log_item_view_count_before_cart,2.6390573296152584,2.19722457733622
log_item_addtocart_count_before_cart,0.6931471805599453,0.0
log_item_transaction_count_before_cart,0.0,0.0
user_prior_purchase_share,0.072542058959716,0.0
user_prior_cart_share,0.092143849359469,0.8135593220338984
item_prior_purchase_share,0.0,0.0
item_prior_cart_share,0.0714285714285714,0.0
prior_pair_view_share,1.0,0.0
prior_pair_recency_minutes,1.8287666666666669,
prior_pair_interaction_span_minutes,4169.502816666666,
cart_hour,21.0,13.0
cart_dayofweek,0.0,5.0
cart_month,8.0,8.0
